SentenceId,Content
028169,而高尔夫GTI、新速腾GLI和新速腾R-Line这些产品家族中极具动感的车型，也在赛场之外将一汽-大众的运动基因体现得淋漓尽致，为渴望驾驶乐趣的消费者提供了个性化的选择。
028126,全新奔腾b50搭载了4gb系列高性能发动机，该发动机具有高功率、低速大扭矩等优势。
028114,宝马的尾标通常是3个数字，第一个数字代表不同级别的车型，后两个数字和排量挂钩，但X系列和Z4只有两个数字，并没有第一个数字。
028098,虽然21世纪的头十年，似乎任何一辆具有时尚外观，性价比更受老百姓亲睐的新车型问世都能掀起一阵波澜，但是大浪淘沙后，只有别克凯越没有减少的迹象。
028077,我刚结婚，和媳妇儿一起选的速派。
028064,全新朗逸真不赖，实用性给点个赞！
028039,写给纠结飞度与昕动的持币观望者，有没写清楚的可以追问
027993,昕锐新车剐蹭后发现右后门及叶子板处两层漆
027987,很高，长安  五菱 这个价格根本买不到。
027926,【上汽大众南通宝腾】爱车凌渡记
027909,我经常把法门比喻成车，虽然世界上有几百种品牌的车，但是只要你会开一种品牌的车，比如会开宝马，那么奔驰、桑塔纳你肯定也会开。
027879,之前听人说帕美不好开，我开过后基本人肯定那些人在扯淡。
027874,翻看中汽协提供的去年国内汽车总销量排名，排在前列的五菱宏光、大众朗逸、哈弗H6、日产轩逸和宝骏730，均是摸清消费者诉求的贴心棉袄，属于工具而非玩具。
027861,有了SWA变道辅助系统，看不到视角盲区都有全新途安L帮你观测，临近车的位置、速度及方向尽在掌握，让变道更从容。
027849,昌河铃木沈阳中航标准4S店欺骗性卖车！
027829,速派源自大众汽车集团MQB-B平台，长4861mm、宽1865mm、高1489mm的超大车身尺寸和2841mm的轴距成就了宽大座舱；座椅不仅具有良好的支撑性和包裹性，还提供座椅记忆、加热、通风等功能，再加上人性化的 Clean Air双温区全自动空调，满足了年轻车主们对舒适品质的追求。
027827,动力相比之前开的K5动力好很多，完全够用，就是起步没有涡轮增压那种感觉，后段很好
027822,卡罗拉焦作地区指导价：10.78-17.58万。
027796,河南濮阳众通别克
027776,您上次不是说想买别克车吗？
027754,【进口车市 商家新闻】福特野马采用了经典的fastback造型理念，这种长车头短车尾外加溜背的造型可谓经典不衰，也许只有野马不羁的个性才能驾驭它。
027739,凌渡GTS前脸增加了代表性能车款的红色线条及“GTS”标识，上下格栅均采用黑色网状结构，两侧雾灯区采用“导流”设计的哑光饰板装饰，内部熏黑的头灯组及灯眉也让这款家轿迸发出狂野的气息。
027736,全新未拆封轿跑霸王——2.0T凌渡GTS新鲜到店轿跑霸王2.0凌渡GTS现已新店登陆上汽大众佛山金泰店现车到店!诚邀您到店体验2.0T凌渡GTS凌渡GTS在外观上做了一定的改变，前中网格栅运用蜂窝状设计，前保险杠两侧格栅则运用了与高尔夫GTI相似的多条幅装饰，运动感更强。
027729,9 这样的外形第一眼就迷住了我，前脸采用鲨齿式哑光镀铬前格栅很独特，运动气质很足，而且也尽显新款朗境的跨界自由风。
027720,奥迪新车A8L加油跳枪
027689,新款威驰外观设计改变主要集中在前脸部分，采用了丰田最新家族式设计，V形进气格栅配合两侧新样式的大灯组，使前脸看起来更具时尚感。
027678,双龙汽车公司召回部分进口享御和雷斯特汽车
027642,通用旗下品牌雪佛兰也将步入混合动力领域。
027580,斯柯达旗下越级风尚两厢车昕动拥有时尚个性的大掀背设计、宽敞的空间和出众的动力表现，处处透露出“不简单”，6.99万元起的实惠售价更突显了性价比优势。
027564,刚开始开M2的时候觉得转向系统有点发沉，不像乐风或者其他轿车那样的轻巧。经。。。
027561,十二年轮回，东风日产天籁修得什么果？。
027558,奔驰的万年CP、好基友宝马，一看对方给台阶了，立马麻溜的就坡下驴了，毕竟“江湖各敬一尺，山水好相逢”。
027537,在宝马和QQ之间，做这样的对比倒也恰如其分。
027520,打算买个25W左右的SUV，自己看上了途观，朋友推荐了自由光……
027515,我本身想买英朗来着，这几款车新英朗最便宜。
027506,作为大众品牌国产的第一辆C级车，既然拿来ABB做“绿叶”，Bobby酱整理了一份车身尺寸的表格来做对比。
027495,然而夸张的销量又让别克不敢对其轻举妄动，因为它会引发别克品牌总销量的“巨震”。
027464,北京汽车B40发动机漏油
027440,在中国，宝马320的新车指导价是低配32.8万元，江华的医生不吃不喝需要65个半月能买得起，就是说不吃不喝5年半左右；而江华的老师需要快7年也能买一台，汽修工需要超过8年半不吃不喝才能买得起。
027438,【凯迪拉克SRX国产将搭载2.0T】凯迪拉克新任总裁约翰·德·尼琛（JohandeNysschen）近日在接受媒体采访时表示：凯迪拉克SRX将成为在华国产车新成员。
027408,对于一款主打家用的MPV车型，采用中庸的外观设计无可厚非，不过途安L的侧面线条则反其道而行之，更加倾斜的A柱与镀铬饰条勾勒出该车的轮廓，相比前款车型贯穿车门把手并延伸至尾灯的腰线“深邃”且硬朗，车门下方的折线营造出俯冲之感。
027397,凯越刚上市的时候，上海通用工厂产能根本就跟不上销量，有经销商甚至要求加价上万元提车，虽然这行为在任何时候都会受到鄙视。
027378,斯柯达速派赞助国家田径队、国家自行车队、国家柔道队及国家现代五项队。
027360,POLO GTI是大众基于A0级车POLO打造的高性能版本。
027353,启辰R30汽车发动机漏油问题
027286,突然有一种要超度他的冲动，同时对大众的变态营销策略钦佩不已。
027224,而结合两车的定价来看：全新迈腾的指导售价为18.99~31.69万元；而速派的指导价则为16.98~27.68万元。
027210,一汽集团很少对外“招兵买马”，而是采取“从集团到合资公司再到集团”的人才流动方式，一汽-大众的很多有经验有能力的人才成为了其反哺“自主”的方式。
027209,斯柯达销售及市场董事安世豪(Werner Eichhorn)称，
027206,它还会不会用“凯越”这个名字？
027149,涡轮在全新速派上也应该是进行了优化，当涡轮猛然介入的时候没有了老款那么突兀的介入感，给人的感受是平稳。
027148,但巡洋舰我也很喜欢，尤其是1UR的V8 4.6几乎装备了所有的丰田好车，均衡、稳定、粗细粮随都行、永不给你找麻烦......马力不大扭矩大，超了路虎3牛米，双叉臂、整体桥、多连杆、防推杆全都又老又皮实。
027137,朋友说出去玩还是得要个通过性牛逼的车，这方面，路虎和Jeep是最厉害的。
027134,工作党选New Polo实惠啊
027126,奥迪后悬架的导向装置为四杆式，纵臂后端焊在后轴上，前端橡胶铰链的内套管通过螺栓和螺母与车身相连，车轮跳动时整个后轮总成绕左右橡胶铰链中心连线摆动。
027111,在自主品牌独占国内新能源汽车市场“鳌头”且丰田混合动力技术也在逐步收获增量的大背景下，上汽通用也按耐不住了。
027100,外观时尚，相比m20在外观上又增加了镀铬装饰，看上去更好看了，一体大灯透镜也为30加分不少
027057,另外外后视镜的照地灯也特有氛围感，晚上看凌渡别有一番滋味有木有？！
027056,【雨田大众】Lamando凌渡提车作业
027033,夏朗在细节方面思考的十分周全，后视镜结合转向灯，后视镜加热，自动防炫目等功能，提高了驾驶过程中的安全性。
027021,所以建议想买明锐的再等等，或者不买这车，让斯柯达明锐这主力车型销量大减，来引起它们注视，给它们一些压力，让它们给已经买车的消费者一个明确的答复，如何解决这一威胁生命健康的问题！
026969,尽管大众品牌将自己视作在全球范围内与丰田、福特展开竞争的有力参与者，但现在它更应关心的是如何在经销商公关方面取得更显著的突破。
026961,而在配置方面全新速派更胜一筹。
026957,截至目前为止，东风乘用车新能源乘用车有东风风神E30、东风风神E30L、以及东风风神A60版电动版三款车型，且均为纯电动车型。
026939,值得一提的是，盲区探测系统探测范围可达18平方米，极大程度降低交通事故的发生几率，并且在同级车型中鲜有配备，体现出了东风标致的满满诚意。
026896,2016年1-7月朗逸家族共销售320，598辆汽车，与去年同期相比的252，863辆增长了26.8%。
026894,奶爸的选择，南下千里提二手途安
026886,中控区域向驾驶员有一定倾斜，体现了标致新308以驾驶者为中心的车厢设计思路。
026883,此外，猎豹CS10的隔音降噪效果同样十分出众，车内分贝怠速时约为42分贝，加速时波动不超过3分贝，高水准NVH表现超过了同级豪华SUV水平，带来整车质感提升。
026856,第一代奥迪A4总共生产了168万辆，在6年时间中能有这样的销量，足以证明奥迪的成功。
026825,身轻如燕的挖掘机和后边笨拙的桑塔纳，是我最喜欢的部分，诠释着两种截然不同的人生态度。
026798,选择奥迪A6是因为喜欢它的大气、稳重、科技感。另外考虑安全问题，相比来说，德系的车比日系的车要安全，这也是大家一致认可的，不管怎样安全最重要。
026774,长安15款逸动XT汽车轮毂质量问题
026734,相比之下，新款帕萨特380TSIDSG至尊版动力更强劲。
026704,空间很好，也是我买启辰的主要的一点。坐在里面没有一点压抑感，头部和上面还有好多距离，后面做三个大人也还可以座下，很不错。后面箱空间也可以，如果放大东西还可以把后排放倒，能盛好多东西，喜欢
026701,北京现代IX35严重漏电影响使用
026695,奥迪：90%是领导，10%是冒充领导的暴发户。
026691,致力于为消费者提供更前沿的智能科技以及更“激擎”的驾驭，2016款福特锐界V6车型还率先引入了全新升级的SYNC 3车载连接系统和同级独有的自适应转向系统。
026678,三菱越野、桑塔纳轿车。
