SentenceId,Content
SentenceId,View,Opinion
028169,一汽-大众,neu
028169,速腾R-Line,pos
028169,速腾GLI,pos
028169,高尔夫GTI,pos
028126,奔腾b50,pos
028114,宝马,neu
028098,别克凯越,pos
028077,速派,neu
028064,朗逸,pos
028039,昕动,neu
028039,飞度,neu
027993,昕锐,neu
027987,长安,neu
027987,五菱,neu
027926,上汽大众,neu
027926,凌渡,neu
027909,桑塔纳,neu
027909,奔驰,neu
027909,宝马,neu
027879,帕美,pos
027874,五菱宏光,pos
027874,日产轩逸,pos
027874,哈弗H6,pos
027874,大众朗逸,pos
027874,宝骏730,pos
027861,途安L,pos
027849,昌河铃木,neg
027829,大众,neu
027829,速派,pos
027827,K5,neg
027822,卡罗拉,neu
027796,别克,neu
027776,别克,neu
027754,福特野马,pos
027739,凌渡GTS,pos
027736,凌渡,pos
027736,高尔夫GTI,neu
027729,朗境,pos
027720,奥迪,neg
027720,A8L,neg
027689,威驰,pos
027689,丰田,neu
027678,享御,neg
027678,雷斯特,neg
027642,雪佛兰,neu
027580,昕动,pos
027580,斯柯达,neu
027564,乐风,pos
027564,M2,neg
027561,东风日产天籁,neu
027558,奔驰,neu
027558,宝马,neu
027537,宝马,neu
027537,QQ,neu
027520,自由光,pos
027520,途观,pos
027515,英朗,neu
027506,大众,neu
027495,别克,neu
027464,北京B40,neg
027440,宝马,neu
027438,凯迪拉克SRX,neu
027408,途安L,pos
027397,凯越,neg
027378,速派,pos
027360,POLO GTI,pos
027353,启辰,neg
027286,大众,neu
027224,速派,neu
027224,迈腾,neu
027210,一汽-大众,neu
027209,斯柯达,neu
027206,凯越,neu
027149,速派,pos
027137,路虎,pos
027137,Jeep,pos
027134,New Polo,pos
027126,奥迪,neu
027111,上汽通用,neu
027111,丰田,pos
027100,m20,neg
027100,30,pos
027057,凌渡,pos
027056,Lamando凌渡,neu
027033,夏朗,pos
027021,明锐,neg
026969,福特,neu
026969,丰田,neu
026969,大众,neu
026961,速派,pos
026957,东风风神E30L,neu
026957,东风风神E30,neu
026957,东风风神A60,neu
026939,东风标致,pos
026896,朗逸,pos
026894,途安,neu
026886,308,pos
026883,猎豹CS10,pos
026856,奥迪A4,pos
026825,桑塔纳,neu
026798,奥迪A6,pos
026774,逸动,neg
026734,帕萨特,pos
026704,启辰,pos
026701,北京现代IX35,neg
026695,奥迪,neu
026691,福特锐界,neu
026678,桑塔纳,neu
026678,三菱,neu
026662,福克斯,neg
026662,途观,neu
026662,RX5,pos
026649,胜达,neg
026649,北京现代,neg
026632,长安之星,neu
026632,现代,neu
026632,桑塔纳,neu
026632,奇瑞,neu
