SentenceId,View,Opinion
017063,高尔夫,neu
010843,东风,neu
010843,神龙,neu
006903,凌渡,neu
013991,林肯,neu
021442,途观,neu
021442,昂科威,neu
021442,国光,neu
021442,汉兰达,neu
021402,穆勒,neu
019857,长安悦翔,neu
016427,威朗,neu
027350,Yeti,pos
020694,标致,neu
000822,宾利,neu
025053,福特,neu
009756,众,neu
008814,308,pos
008814,3008,neu
008814,308S,neu
025330,江淮,neu
002798,宝马,neu
014532,高尔夫,neu
016333,东风,neu
001046,夏利,neu
002245,甲壳虫,pos
015775,长安,neu
006276,东风,neu
024264,宝马,neu
023623,特斯拉,neu
016518,丰田,neu
020426,反观,pos
017893,英菲尼迪,neu
023111,荣威,neu
023375,宝马,neu
006491,迈腾,neu
002933,东风,pos
013784,英朗,pos
005539,奥迪,pos
004904,劳达,neu
027884,晶锐,pos
020913,奥迪,pos
020689,福克斯,neu
027540,奥迪,neu
023799,宝马,neu
023799,BMW,neu
013021,C2,neu
006366,君越,pos
003269,雪佛兰,neu
012556,奔驰,neu
012556,大众,neu
009950,蒙迪欧,neu
009950,福克斯,neu
009950,福特,neu
009950,长安,neu
013817,宝马,neu
026910,奥迪,neu
026910,Q3,neu
003928,朗行,pos
018231,迈锐宝,neu
018231,雪佛兰,neu
023818,亚迪,neu
023818,比亚迪,neu
021646,东风,neu
013920,威朗,pos
026493,本田,pos
004761,斯柯达,neu
023901,中兴,neu
015965,丰田,pos
015965,RAV4,neu
001766,宝旭,neu
001766,广汽,pos
001766,GA8,neu
004608,现代,neu
011002,东风,pos
021888,速腾,neu
021888,明锐,neu
004885,速派,pos
021004,本田,neu
004362,昕动,pos
012950,福特,neu
005031,BMW,neu
002731,思域,neu
002731,本田,neu
022584,卡罗拉,pos
003993,丰田,neu
003993,广汽,neu
006661,东风,neu
006661,3008,neu
004662,东风,pos
021260,雪佛兰,neu
010566,亚迪,neu
006217,本田,pos
016297,迈腾,neu
016601,C4L,neu
016601,雪铁龙,neu
000454,福特,neu
013923,朗境,pos
027501,福特,neu
024674,长安,neu
008718,本田,neu
019976,大众,neu
027258,长安,neu
011634,东风,neu
011634,东风风神,pos
011634,A60,neu
014783,精神,neu
023202,广汽,neu
002720,东风,neu
000890,奇兹塔斯,neu
023312,比亚迪,neu
023312,1.5TID型号,pos
027578,博瑞,neu
027578,哈弗,pos
027578,荣威,neu
026845,Polo,pos
013422,特斯拉,pos
005895,奥迪,neu
005895,大众,neu
005895,凌渡,pos
018284,长安,neu
004253,广汽,neu
027302,长安,neu
015817,GL8,neu
015387,昕锐,pos
013112,中兴,neu
017295,本田,neu
023826,丰田,neu
013500,大众,neu
019332,广汽,neu
005360,斯柯达,neu
021409,广汽,pos
021409,吉利,neu
019517,东风,neu
001136,讴歌,neu
001136,CR-V,neu
026970,途观,pos
023986,雷克萨斯,neu
001739,奥迪,pos
001739,宝马,neu
001739,奔驰,neu
009203,雅阁,pos
002499,马自达,neu
025766,轩逸,pos
010050,Polo,neu
023748,途观,pos
007579,东风,neu
025862,野马,neu
021910,奇骏,neu
022688,宝马,neu
022124,轩逸,pos
014032,江淮,neu
006738,奥迪,neu
000487,大众,neu
000487,一汽,neu
014699,福特,neu
024119,讴歌,neu
024119,本田,neu
003194,奥迪,neu
002280,奥迪,neu
002280,宝马,neu
014224,奔驰,neu
014224,雷克萨斯,neu
026790,途观,pos
008113,丰田,neu
008113,宝马,neu
010810,沃尔沃,neu
007267,江淮,neu
007267,大众,neu
001602,神龙,neu
026839,雷凌,pos
023541,凌渡,pos
017637,雪铁龙,neu
012369,昂科威,pos
010759,广汽,neu
003220,奥迪,neu
009161,斯柯达,pos
025453,科尔维特,neu
025453,科鲁兹,neu
014316,宝马,neu
003458,威朗,pos
010948,欧宝,neu
008344,波尔舍,neu
008344,保时捷,neu
026298,Yeti,neu
020361,翼虎,neu
020361,锐界,neu
020361,福特,neu
000331,起亚,neu
016185,北汽,neu
018763,力帆,neu
013658,雪佛兰,neu
019185,奥迪,neu
025202,XR-V,pos
015220,东风,neu
016754,菲翔,pos
016754,英朗,neu
016754,科鲁兹,neu
020629,晶锐,pos
019080,速腾,neu
019080,大众,neu
027717,沃尔沃,neu
027717,福特,neu
025074,劳斯莱斯,neu
026929,奥迪,neu
027616,帕萨特,neu
009655,北汽,neu
010271,宝马,neu
010271,BMW,pos
014858,东风,pos
014858,A60,pos
002969,大众,neu
000255,北汽,neu
009092,思域,neu
009092,本田,neu
019171,名图,neu
019171,索纳塔,pos
007045,桑塔纳,neu
008537,宝马,neu
007354,宝骏,neu
007829,朗逸,pos
010666,雷克萨斯,neu
019875,广汽,neu
021253,MINI,neu
025392,兰博基尼,neu
001898,讴歌,neu
001898,英菲尼迪,neu
024178,林肯,neu
022360,本田,neu
009288,福特,neu
013042,比亚迪,neu
023199,福特,neu
007449,昂科威,neu
005434,CX-4,neu
005434,一汽,neu
005434,吉利,neu
005434,帝豪,neu
007246,Tiguan,neu
004548,英朗,neu
022092,雅阁,neu
022092,广汽,neu
022092,本田,neu
024509,三菱,neu
012246,兰博基尼,neu
022550,马自达,pos
020843,迈凯轮,neu
020843,阿尔法罗密欧,neu
004002,BMW,pos
007586,POLO,neu
024468,高尔夫,neu
021723,途安,pos
017332,迈腾,neu
010056,福特,neu
022724,朗动,pos
017844,宝马,neu
017844,BMW,neu
008168,雪铁龙,neu
012086,雪铁龙,neu
009406,GS8,pos
009406,广汽,pos
009406,长安,neu
025905,宝马,neu
002267,GL8,neu
003571,途观,pos
008860,别克,neu
008860,别克威朗,pos
008860,威朗,neu
003172,东风,neu
003172,天籁,neu
022823,明锐,pos
005165,亚迪,neu
025700,东风悦达起亚,neu
019592,凯迪拉克,neu
023334,速派,pos
023334,蒙迪欧,neu
021471,斯柯达,neu
026181,昕动,pos
026181,福睿斯,pos
027030,凌渡,pos
002850,雪铁龙,neu
019457,本田,neu
019917,速派,pos
020521,迈腾,neu
020521,CC,neu
005929,海马,neu
004117,众,neu
004117,Z700,neu
010949,现代,neu
013959,速派,pos
013959,色达行,neu
013046,风光,neu
010920,」马自达,neu
002831,F0,pos
001300,福特,neu
003802,大众,neu
000098,宝马,neu
005552,启辰,pos
020732,萨博,pos
001849,凯迪拉克,neu
016732,雷凌,pos
028113,奥迪,neu
009593,大众,neu
022423,大众,neu
010515,宝马,neu
019537,讴歌,neu
008941,江淮,neu
000093,宝骏,neu
019247,阿特兹,neu
019247,凯美瑞,neu
005619,雅阁,pos
005619,蒙迪欧,neu
005619,帕萨特,pos
005619,凯美瑞,neu
020581,长安,neu
003389,沃尔沃,pos
027764,福特,neu
008166,长安,neu
000203,马自达,neu
000203,福克斯,neu
017757,起亚,neu
018729,别克,neu
028001,起亚,neu
008246,雪佛兰,neu
017097,宝马,neu
027514,迈锐宝,neu
020625,东风,pos
014582,凯迪拉克,neu
028032,途锐,pos
013041,君威,neu
017328,长安,neu
018761,RAV4,neu
010522,广汽,neu
026788,Lamando凌渡,pos
000110,玛莎拉蒂,neu
000110,丰田,neu
000110,大众,neu
000110,本田,neu
001904,大众,neu
016675,雪佛兰,neu
016287,丰田,neu
004783,途安,pos
021810,凯迪拉克,neu
021810,宝马,neu
021810,凌志,neu
021416,宝马,neu
005339,迈腾,neu
005339,帕萨特,neu
022371,奥迪,pos
014965,东风,neu
014965,广汽,neu
014965,本田,neu
018283,江淮,neu
012252,奥迪,neu
012252,路虎,neu
012252,宝马,neu
012252,极光,neu
017966,宝马,neu
001718,拉达,neu
001718,菲亚特,neu
024007,众泰,pos
006001,宝马,neu
019430,Yeti,pos
026379,卡罗拉,neu
019325,丰田,neu
009350,SUV·英菲尼迪,neu
001543,宝马,neu
024981,猎豹,neu
013643,蒙迪欧,neu
013643,福特,neu
021216,卡罗拉,neu
020174,本田,neu
027613,本田,neu
003642,奥迪,neu
009759,福特,neu
024653,科鲁兹,neu
024653,福克斯,neu
023004,飞度,pos
023004,本田,neu
023265,雷凌,pos
024441,途安,pos
024478,斯柯达,neu
014787,捷豹,neu
005145,欧力威,neu
005145,长安,neu
019481,菲翔,pos
019481,福克斯,neu
002998,福特,neu
008569,宝来,neu
008569,V3,neu
008569,花冠,neu
012697,奥迪,neu
012697,宝马,neu
012697,奔驰,neu
018754,本田,neu
008401,CT6,neu
022861,途观,pos
022861,大众,neu
005306,凯美瑞,neu
008232,马自达,neu
012130,科鲁兹,neu
018111,英朗,neu
021532,广汽,neu
021606,江淮,neu
006361,丰田,neu
006361,广汽,neu
015359,悦纳,pos
015359,朗动,pos
015359,瑞纳,neu
021495,福特,pos
015792,标致,pos
014866,晶锐,pos
019199,传祺,pos
019199,广汽,neu
006419,雷凌,pos
019471,高尔夫,neu
019471,速腾,neu
017728,大众,neu
017728,明锐,pos
022474,别克,neu
022474,凯越,neu
013334,沃尔沃,neu
028099,长安,neu
006701,红旗,neu
012693,长安,neu
026483,外观,pos
026483,马自达,neu
008888,凯迪拉克,neu
001428,思域,neu
005236,路虎,neu
005236,沃尔沃,neu
005236,雷克萨斯,neu
005236,捷豹,neu
010688,福特,neu
010688,Shelby,neu
010618,晶锐,pos
011275,哈弗,neu
021873,现代,neu
015504,悍马,neu
026729,李孝利,neu
011175,昂科拉,neu
001099,大众,neu
014953,宾利,neu
001908,宝马,neu
008004,别克君威,pos
014494,外观,pos
016710,福特,neu
016710,雪佛兰,neu
016636,CX-4,neu
016636,马自达,pos
005468,科鲁兹,neu
009044,卡尔,neu
009044,奔驰,neu
011320,丰田,neu
010238,宝马,neu
025920,东风,neu
025920,天籁,neu
009047,丰田,neu
009047,雷克萨斯,neu
009047,捷豹,neu
009047,奔驰,neu
009047,奥迪,neu
009047,沃尔沃,neu
009047,本田,neu
009047,宝马,neu
004439,长安,neu
000764,广汽,neu
018871,高尔夫,neu
020954,福特,neu
010349,野马,neu
012747,锐宝,neu
012747,雪佛兰,neu
012747,科鲁兹,neu
001288,飞度,neu
016910,丰田,neu
016910,雷克萨斯,neu
013628,雷克萨斯,neu
005877,林肯,neu
016121,江淮,neu
014119,雷诺,neu
001081,大众,neu
011463,途安,pos
019887,首尔,neu
019887,起亚,neu
021530,广汽,neu
019002,别克,neu
013533,高尔夫,neu
017793,雷克萨斯,neu
017793,雷诺,pos
019147,奥迪,neu
019147,宝马,neu
019147,奔驰,neu
017438,福特福克斯,pos
017438,福克斯,neu
005279,奥迪,neu
005279,大众,neu
023956,江淮,neu
026401,凌渡,pos
019036,广汽,neu
026130,斯柯达明锐,pos
006596,凯迪拉克,neu
018926,本田,neu
018926,哥瑞,neu
015838,速腾,neu
015838,卡罗拉,pos
018062,长安,neu
008762,北汽,neu
016261,林肯,pos
010536,林肯,neu
016860,宝马,neu
009704,力帆,neu
006978,广汽,neu
006606,亚新利欧,neu
012033,28T,neu
012033,20T,neu
000082,速派,pos
003355,科鲁兹,neu
025285,英菲尼迪,pos
025536,陆风,neu
013662,斯柯达,neu
009162,捷豹,neu
001279,世嘉,neu
021367,宝马,neu
014090,宝马,neu
008839,明锐,pos
006990,明锐,pos
011627,凌渡,pos
013913,东风,pos
013913,标致,neu
027903,宝马,neu
006413,丰田,neu
008077,亚迪速锐,neu
008077,大众,neu
008077,福特翼虎,neu
008077,桑塔纳,neu
023037,奥迪,neu
026600,启辰,pos
023711,荣威,neu
016038,东风,neu
007960,长安,neu
018166,宝马,neu
009468,雅阁,neu
009468,卡罗拉,neu
000324,通用,neu
000324,雪佛兰,neu
006637,林肯,neu
023679,捷豹,neu
014091,沃尔沃,neu
000949,东风,neu
025522,全新帕萨特,neu
026787,雪佛兰,neu
005642,英朗,neu
006740,长安,neu
027950,长安,neu
025253,长安,neu
018076,宝马,neu
001082,奥迪,neu
001082,奔驰,neu
001082,宝马,neu
001082,沃尔沃,neu
024904,宝骏,neu
004805,GS8,neu
004805,广汽,neu
009700,荣威,neu
001042,别克,neu
021566,沃尔沃,neu
018089,英朗,pos
010369,途观,neu
008370,玛莎拉蒂,neu
026041,雪佛兰,neu
012312,宝马,neu
009512,途观,pos
027606,广汽,neu
007111,林肯,neu
005960,速派,pos
008218,广汽,neu
008352,朗逸,pos
009262,帕萨特,neu
026118,宝马,neu
019568,斯柯达,neu
019568,铃木启悦,neu
021327,奥迪,neu
021702,丰田,neu
006528,大众,neu
024501,宝马,neu
024501,大众,neu
020756,高尔夫,neu
016438,途观,pos
018911,宝马,neu
000939,本田,neu
015172,雅阁,pos
011021,昂克赛拉,neu
016722,桑塔纳,neu
019398,福特,neu
019398,雪弗兰,neu
019748,华泰,neu
025232,大众,neu
025232,T,neu
004724,斯巴鲁,neu
003184,别克,neu
003184,威朗,pos
022246,朗逸,pos
022362,哈弗,neu
007325,广汽,neu
010060,长安,neu
008805,GL8,neu
008805,别克,neu
008800,雅阁,neu
022374,QQ,neu
022374,宝马,neu
018989,宝马,neu
005242,宝马,neu
016245,C4L,neu
016245,速腾,neu
016245,雪铁龙,neu
016245,一汽,neu
024819,荣威,neu
013934,标致,neu
013934,雪铁龙,neu
013297,丰田,neu
007276,雨燕,neu
006693,朗逸,pos
002464,宝骏,neu
002991,迈腾,pos
025061,长安,neu
007853,奔驰,neu
005351,凯迪拉克,neu
005351,上汽,neu
005351,雪佛兰迈锐宝,neu
005556,长安,neu
019101,速腾,neu
023393,沃尔沃,neu
023393,S60,neu
023393,V60,neu
008796,本田,neu
018474,凯迪拉克,neu
018424,大众,neu
003811,大众,neu
008190,东风,neu
028009,本田,neu
010957,别克,neu
008570,福特,neu
025673,朗逸,pos
010947,大众,neu
015850,广汽,neu
001822,启辰,pos
014213,凯迪拉克,neu
025282,奥迪,neu
001075,雷凌,pos
003062,宾利,neu
016972,途安,pos
020446,奥迪,neu
020446,凯迪拉克,neu
020446,奔驰,neu
020446,宝马,neu
026943,大众,neu
004151,GL8,neu
004151,昂科威,neu
022491,迈锐宝,neu
027809,R420,neu
027809,高尔夫,neu
027809,大众,neu
007695,江淮,neu
007695,一汽,neu
019367,大众,pos
011118,福特,neu
019386,宝马,neu
011324,迈锐宝,neu
011324,上汽,neu
011818,广汽,neu
011818,汉兰达,neu
009816,江淮,neu
008731,北汽,neu
021762,速腾,neu
017053,X6,neu
017053,X5,neu
009714,宝马,neu
017404,朗逸,neu
012792,丰田,neu
016961,雅阁,neu
016961,飞度,pos
024764,宝马,neu
015985,昕锐,pos
015985,斯柯达,pos
001063,绅宝,neu
009690,D90,neu
006060,福特,neu
025762,Yeti,neu
004410,雷克萨斯,neu
004410,沃尔沃,neu
004410,奥迪,neu
004410,凯迪拉克,neu
004410,奔驰,neu
004410,宝马,neu
010757,威朗,pos
013081,比亚迪,neu
007171,奥迪,neu
016591,帕萨特,neu
024411,奥迪,neu
024411,沃尔沃,neu
023500,长安,neu
023500,奇瑞,neu
027230,长安,neu
012984,景枫,neu
011860,GS4,pos
011860,比亚迪,neu
014049,雪佛兰,neu
009153,通用,neu
009153,科沃兹,neu
009153,凯越,neu
014200,大众,neu
009697,哈飞赛豹,neu
009697,亚迪,neu
009697,骏捷,neu
015539,大众,neu
025708,速派,pos
025708,迈腾,neu
025409,凯迪拉克,neu
004859,RAV4,pos
025347,哈弗,neu
025347,帝豪,neu
023718,长安,neu
015253,奥迪,neu
011195,福特,neu
027384,思域,neu
027384,本田,neu
024409,林肯,neu
021307,宝马,neu
015810,威朗,neu
012844,江铃,neu
012844,福特,neu
014889,威朗,pos
018107,凯迪拉克,neu
018107,雪佛兰迈锐宝,neu
012820,福特,neu
009641,宝马,neu
009982,长安,neu
008575,捷豹,neu
007488,宝骏,neu
007488,ISO,neu
017769,起亚,neu
026796,Q3,neu
013637,大众,neu
004211,东风,neu
020603,昂科拉,neu
003576,宝马,neu
000319,C4L,neu
021563,长安,neu
025146,翁帆,neu
006816,雪铁龙,neu
018598,昂科威,neu
018598,马自达,pos
017903,Ivan,neu
016122,丰田,neu
016122,日产,neu
021390,宝马,neu
021299,大众,neu
020122,途安,pos
019526,奥迪,neu
019526,宝马,neu
022394,宝马,neu
023874,东风,pos
027142,丰田,neu
003621,传祺,pos
003621,吉利,neu
014528,吉利,neu
014528,长安,neu
019579,雷克萨斯,neu
005794,江淮,neu
024941,速派,pos
024941,斯柯达,neu
008479,轩逸,pos
015765,朗逸,neu
015765,迈锐宝,neu
005045,EV,neu
005045,Power,neu
005045,雷凌,pos
025997,途观,pos
025997,马自达,pos
013814,马自达,pos
005270,沃尔沃,neu
021575,东风,pos
021575,神龙,neu
027089,宝马,neu
008924,花神,neu
007611,东风,neu
007611,丰田,neu
007611,别克君越,neu
007611,大众,neu
007611,福特,neu
007611,辉昂,neu
007611,日产,neu
025954,五十铃,neu
020450,亚迪,neu
000001,奇骏,neu
027730,福克斯,neu
001676,斯柯达,neu
004578,奥迪全新,neu
004578,Q7,neu
002375,大众,neu
018848,斯巴鲁,neu
021286,福克斯,neu
006839,大众,neu
013310,长安,neu
007006,菲亚特,neu
010327,雪佛兰,neu
021565,RAV4,neu
021565,VIOS威驰,pos
002405,Yeti,pos
002105,途观,pos
015663,朗行,pos
016679,雅阁锐,pos
016679,普锐斯,neu
016679,丰田,neu
003680,宝马,neu
005191,新明锐,neu
017120,途安,pos
009307,通用,neu
006352,长安,neu
016551,长安,neu
014083,昕锐,pos
013513,哈弗,pos
014895,宝马,neu
014895,GA8,pos
001833,大众,pos
011534,思域,neu
011534,英朗,neu
007591,明锐,neu
019681,福特,neu
005256,速派,neu
005256,斯柯达,neu
015160,奥迪,neu
024246,奥迪,neu
002724,科鲁兹,neu
002724,科沃兹,neu
018363,迈锐宝,neu
018363,锐宝,neu
021125,速派,pos
021125,斯柯达,neu
018766,一汽,pos
001062,宝马,neu
021215,雷克萨斯,neu
021215,日产,neu
021365,卡宴,neu
021365,GLE400,pos
021365,X6,neu
010011,明锐,pos
018541,众泰,neu
014308,奥迪,neu
001523,速腾,neu
002318,江铃,neu
014129,Cruze,neu
014129,Impala,neu
014129,雪佛兰,neu
010544,长安,neu
022268,斯柯达,pos
022268,大众,neu
008032,凌渡,pos
013599,比亚迪,neu
013711,雷克萨斯,pos
018721,瑞风,neu
008396,途安,pos
017831,晶锐,pos
002219,威朗,pos
017130,速派,pos
017130,上汽,pos
023579,马自达,neu
023579,吉利,neu
011166,凌渡,neu
001353,起亚,neu
003732,别克,neu
009777,奥迪,neu
009777,奔驰,neu
009777,谷歌,neu
006465,XR-V,neu
006465,本田,neu
005354,卡罗拉,neu
025213,江淮,neu
006630,哈弗,neu
004100,丰田,pos
026916,捷豹,neu
007861,宝马,neu
011438,科鲁兹,neu
011438,福克斯,pos
026340,瑞,neu
026340,XFL,neu
016645,速派,neu
017105,威朗,pos
026184,捷豹,neu
026184,大众,neu
026184,奥迪,neu
026184,奔驰,neu
026184,宝马,neu
026184,特斯拉,neu
024073,昂克赛拉,neu
004020,奥迪,neu
004020,A4L,neu
012533,通用,neu
012533,朗,neu
010695,迈瑞宝,pos
010695,XL,neu
001576,迈锐宝,neu
001576,雪铁龙,neu
001576,索纳塔八,neu
014779,凯迪拉克,neu
016646,S330,neu
016646,福特,neu
022080,大众,neu
008331,斯巴鲁,neu
016521,昕锐,pos
016521,爱丽舍,neu
025585,朗逸,neu
025585,福睿斯,neu
006068,宝马,neu
020103,奔驰,neu
020103,宝马,neu
001720,高尔夫,neu
007856,东风,neu
007856,蓝鸟,neu
000479,长安,neu
000660,宝马,neu
026351,奥迪,neu
000322,长安,neu
004779,宝马,neu
015644,雪铁龙,neu
003746,辉昂,pos
022302,长安,neu
020132,途观,neu
014832,东风,neu
009712,奥迪,neu
009712,大众,neu
009712,起亚,neu
006878,纳智捷锐,neu
003095,斯柯达,neu
003095,别克英朗,pos
000353,高尔夫,neu
007177,阿特兹,neu
004460,朗逸,pos
004460,帕萨特,neu
004460,大朗逸,neu
008812,福克斯,neu
003450,速腾,neu
003835,思域,neu
003835,本田,neu
001306,荣威,neu
000965,宝马,neu
000965,i3,neu
006778,奔奔,neu
006778,长安,neu
006042,大众,neu
003029,途观,pos
003029,大众,neu
005514,帕萨特,neu
002315,新福特,neu
025306,途安,pos
003541,曼彻斯特,neu
003541,Doncaster,neu
003541,林肯,neu
001976,别克全新英朗,neu
001976,威朗,neu
001976,凯越,pos
013228,比亚迪,neu
018753,奥迪,neu
009773,东风,neu
025072,长安,neu
016048,斯柯达,pos
013159,科鲁兹,neu
013159,雪佛兰,neu
022162,雪佛兰,pos
009605,奥迪,neu
005563,凯越,neu
019687,宝马,neu
019687,BMW,neu
012231,威朗,neu
026272,雷克萨斯,neu
026320,尼桑,neu
021926,吉利博越,pos
021926,长安,neu
007242,速腾,neu
001767,沃尔沃,neu
010287,奥迪,neu
010287,TT,pos
016536,东风,neu
011362,长安,neu
020686,雪铁龙,neu
020906,东风,pos
011701,悦纳,pos
023657,宝马,neu
001554,丰田,neu
001554,本田,neu
022913,东风,neu
006938,宝马,neu
006938,比亚迪,neu
006938,福特,neu
010009,卡罗拉,neu
011586,大众,neu
027697,辉腾,neu
027769,迈腾,neu
027769,帕萨特,neu
010851,东风,neu
007963,宝骏,neu
007963,江淮,neu
007963,SUV—530,neu
007963,长安,neu
016229,福克斯,neu
006522,长安,neu
020231,丰田,neu
013515,逸动,pos
013515,长安,neu
002209,传祺,pos
022026,宝马,neu
020789,宝马,neu
001231,标致,neu
001231,江淮,neu
001231,奇瑞,neu
006004,奥迪,neu
019814,荣威,neu
005585,东风,neu
005585,腾,neu
020404,野马,neu
015809,大众,neu
017156,DX7,pos
003895,宝骏,neu
017170,大众,neu
019506,途观,pos
010716,朗境,pos
011826,朗逸,pos
009273,玛莎拉蒂,neu
000922,斯柯达,neu
001752,宝马,neu
022633,马自达,pos
010259,宝马,neu
018656,别克,neu
016670,悦纳,pos
013797,长安,neu
012748,凌渡,pos
015442,大众,neu
003513,哈弗,pos
010631,斯柯达,neu
026001,凌渡,pos
007746,大众,neu
007746,途安,pos
011975,辉昂,pos
011975,大众,neu
011863,东风,neu
011863,天籁,neu
011863,轩逸,pos
005441,玛莎拉蒂,neu
005441,宝马,neu
019049,凯迪拉克,neu
017550,丰田,neu
000481,斯柯达,pos
018673,瑞风,neu
018673,哈弗,neu
018673,长安,neu
005227,雪佛兰,neu
007281,桑塔纳,neu
009566,科鲁兹,neu
017859,广汽,neu
006220,索纳塔,neu
008260,丰田,neu
006304,高尔夫,neu
006304,Sport,pos
022412,高尔夫,neu
022412,明锐,neu
025694,途观,pos
005170,福克斯,neu
024281,卡罗拉,pos
018421,昂科拉,pos
010408,长安,neu
000709,威朗,pos
016920,途观,pos
008262,威朗,neu
012090,迈腾,neu
012090,奥迪,neu
012090,红旗,neu
015568,广汽,neu
014046,雷克萨斯,neu
026303,凌渡,neu
001578,桑塔纳,neu
000927,一汽,neu
022059,丰田,neu
022059,RAV4,neu
022059,奇骏,pos
022059,比奇骏,neu
024530,科鲁兹,neu
016512,雷克萨斯,neu
008187,Jeep,neu
022086,启辰,neu
005716,雷凌,pos
016199,宏光,neu
015722,宝马,neu
006159,东风,neu
021727,型瓦特,neu
021727,科鲁兹,neu
025915,高尔夫,neu
023344,君威,neu
015515,标致,neu
003902,斯柯达,neu
016421,吴子兰,neu
016421,宝马,neu
027765,东风,neu
020227,BMW,neu
017256,起亚,neu
023832,大众,pos
025767,东风,neu
025767,启辰,neu
009706,大众,neu
023106,比奥迪,neu
023106,迈腾,neu
023106,宝马,neu
023106,红旗,neu
017255,东风,neu
014386,林肯,pos
015564,哈弗,neu
022769,桑塔纳,neu
015230,东风,neu
027851,丰田,neu
014766,丰田,neu
014766,福特,neu
014766,雪佛兰,neu
026352,哈弗,pos
012765,途观,pos
006981,凌渡,pos
009386,玛莎拉蒂,neu
015773,本田,pos
001177,长安,neu
019397,途安,pos
027368,斯巴鲁,neu
007683,大众,neu
014422,GL8,neu
014422,丰田,neu
014422,奔驰,neu
014422,迈特威,pos
014422,日产,neu
017058,五,neu
013061,奥迪,neu
016564,速派,pos
007458,凌渡,pos
004122,雷克萨斯,neu
024923,林肯,neu
011960,宝马,pos
010719,XFL,neu
010719,捷豹,neu
012499,东风,neu
012490,北汽,neu
004872,东风,neu
004872,日产,neu
000426,途观,pos
011040,斯柯达,neu
011040,大众,neu
016359,D70,neu
016359,D20,neu
016359,萨博,pos
016359,北汽,neu
016359,D50,neu
016359,D60,neu
025504,福特,neu
