word sh answer
测试 v o 
的 u o 
主角 n o 
--- w o 
全新 a b-pos 
速派 n pos 
TSI330 x o 
智行版 n o 
测试 v o 
的 u o 
主角 n o 
--- w o 
全新 a b-pos 
速派 n pos 
TSI330 x o 
智行版 n o 
测试 v o 
的 u o 
主角 n o 
--- w o 
全新 a b-pos 
速派 n pos 
TSI330 x o 
智行版 n b-pos 
斯柯达 n pos 
达标 v o 
-- w o 
这个 r o 
角度 n o 
看上去 v o 
是 v o 
不 d o 
是 v o 
很 d o 
帅 g o 
前 f o 
大 a o 
灯 n o 
采用 v o 
三角 n o 
折面 v o 
造型 n o 
， w o 
立体 d o 
晶璨 a o 
切割 v o 
， w o 
黑 a o 
底 n o 
银色 n o 
悬浮 v o 
线条 n o 
设计 v o 
， w o 
打造 v o 
多型面 n o 
几何 n o 
层次 n o 
前 f o 
大 a o 
灯 n o 
采用 v o 
AFS x o 
随动 a o 
转向 v o 
（ w o 
自动 d o 
进行 v o 
灯光 n o 
角度 n o 
调节 v o 
） w o 
和 c o 
MDFS x o 
大 a o 
灯 n o 
动态 n o 
辅助 v o 
（ w o 
避免 v o 
夜间 t o 
灯光 n o 
对 p o 
前方 f o 
驾驶员 n o 
或 c o 
对 p o 
向 p o 
驾驶员 n o 
造成 v o 
炫目 a o 
） w o 
技术 n o 
， w o 
给 p o 
驾驶员 n o 
夜间 t o 
提供 v o 
清晰 a o 
宽阔 a o 
视野 n o 
全新 a b-pos 
速派 n pos 
这 r o 
一路 m o 
--- w o 
实在 d o 
不 d o 
简单 a o 
全新 a o 
18 m o 
英寸 q o 
黑色 n o 
精车 n o 
轮毂 n o 
， w o 
增加 v o 
行驶 v o 
稳定性 n o 
， w o 
彰显 v o 
时尚 n o 
动感 n o 
视觉 n o 
效果 n o 
全新 a o 
18 m o 
英寸 q o 
黑色 n o 
精车 n o 
轮毂 n o 
， w o 
增加 v o 
行驶 v o 
稳定性 n o 
， w o 
彰显 v o 
时尚 n o 
动感 n o 
视觉 n o 
效果 n o 
全新 a b-pos 
速派 n pos 
TSI330 x o 
智行版 n o 
整装待发 id o 
测试 v o 
的 u o 
第一 m o 
步 q o 
先 d o 
将 p o 
车辆 n o 
预热 v o 
到 v o 
正常 a o 
的 u o 
工况 n o 
（ w o 
如 v o 
水温 n o 
， w o 
油温 n o 
等 u o 
） w o 
， w o 
然后 c o 
安装 v o 
测试 v o 
所 u o 
需 v o 
的 u o 
设备 n o 
， w o 
本次 r o 
所 u o 
用 v o 
的 u o 
测试 v o 
设备 n o 
可以 v o 
测试 v o 
车辆 n o 
的 u o 
动力性 n o 
， w o 
制动性 n o 
等 u o 
性能 n o 
参数 n o 
， w o 
如 v o 
车辆 n o 
达到 v o 
不同 a o 
车速 n o 
时 g o 
的 u o 
加速 v o 
时间 n o 
， w o 
距离 n o 
， w o 
纵横 v o 
向 p o 
加 j o 
速度 n o 
； w o 
车辆 n o 
在 p o 
不同 a o 
车速 n o 
下 f o 
的 u o 
制动 v o 
距离 n o 
， w o 
时间 n o 
， w o 
纵横 v o 
向 p o 
制动 v o 
减 v o 
速度 n o 
等 u o 
， w o 
这些 r o 
数据 n o 
有助于 v o 
我们 r o 
进一步 d o 
了解 v o 
所 u o 
测 v o 
车辆 n o 
的 u o 
技术 n o 
状况 n o 
。 w o 
。 N o 
而 c b-pos 
高尔夫GTI n pos 
GTI x o 
、 w o 
新 a b-pos 
速腾R-Line v pos 
